Exercise,Utility,Mechanics,Force,Instructions,Muscle
lever triceps dip,basic,compound,push," If possible, place handles in narrow position. Sit on seat with legs under pads. Grasp handles and position elbows back.
push levers down by straightening arms downward. allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. repeat.",triceps brachii
lever overhand triceps dip,basic,compound,push," Sit on seat with back against pad. Gra


sp end of handles with overhand grip and position elbows back.
push levers down by straightening arms downward. allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. repeat.",triceps brachii
lever triceps extension,basic or auxiliary,isolated,push,"Sit on seat with arm pads apart to sides. Slide arm pads closer together to sides of chest. Grasp handles and place back of upper arms on padding.
push lever down until arms are fully extended. return until forearms contact upper arms. repeat.",triceps brachii
lever alternating triceps extension,basic or auxiliary,isolated,push," Sit on seat. Grasp handles and place back of upper arms on padding.
push one lever out and down until arm is fully extended. return until forearm contacts upper arm. repeat with opposite arm. continue alternating movement between arms.",triceps brachii
smith close grip incline bench press,basic or auxiliary,compound,push,"Lie on incline bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.
lower weight to chest with elbows close to body. push bar back up until arms are straight. repeat.",triceps brachii
bench dip (knees bent),basic,compound,push," Sit on side of bench. Place hands on edge of bench. Place feet on floor away from bench. Straighten arms, slide rear end off of edge of bench, and position feet on floor with knees bent.
lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. raise body and repeat.",triceps brachii
bench dip (heels on floor),basic,compound,push," Sit on side of bench. Place hands on edge of bench. Position feet away from bench. Straighten arms, slide rear end off of edge of bench, and rest heels on floor with legs straight.
lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. raise body and repeat.",triceps brachii
close grip push-up (on knees),basic,compound,push," Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.
keeping body straight, lower body to floor by bending arms. push body up until arms are extended. repeat.",triceps brachii
close grip push-up (on medicine ball),specialized,compound,push," Kneel before medicine ball. Place hands on upper part of ball on each side. Balance upper body above ball with arms extended. Straighten body and place forefeet back, away from ball on floor shoulder width apart.
keeping body straight, lower body by bending arms until chest touches ball. push body up until arms are extended. repeat.",triceps brachii
close grip incline push-up (on bar),basic,compound,push," Grasp horizontal bar (lower than chest height) with hands shoulder width or slightly narrower. Position forefeet back from bar with arms and body straight. Arms should be perpendicular to body.
keeping body straight, lower chest to bar by bending arms. push body up until arms are extended. repeat.",triceps brachii
triceps dip (between benches),basic,compound,push," Stand between ends of two benches. Place hands on ends of benches with fingers off end of benches. Grip should be somewhat narrow. Position feet out in front with legs straight, heels on floor, and torso upright.
lower body by bending arms, allowing elbows to point back. when slight stretch is felt in chest or shoulders, push body up until arms are straight. repeat.",triceps brachii
triceps dip (bent knees between benches),basic,compound,push,"Stand between ends of two benches. Place hands on ends of benches with fingers off ends of benches. Grip should be somewhat narrow. Position feet in front with legs bent and torso upright.
lower body by bending arms, allowing elbows to point back. when slight stretch is felt in chest or shoulders, push body up until arms are straight. repeat.",triceps brachii
suspended self-assisted triceps dip,basic,compound,push,"Stand between two suspension handles, approximately mid-thigh height. Grasp handles on each side and straighten arms with shoulders above hands. Holding position firmly and place bodyweight on handles. Place toes on floor behind with knees bent and feet back.
lower body by bending arms back. if necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with floor. when slight stretch is felt in chest or shoulders, push body up back up until arms are straight. repeat with minimal assistance from legs.",triceps brachii
cable alternating seated curl,basic or auxiliary,isolated,pull,"Sit on seat situated between two low pulleys down to each side. Grasp stirrups in each hand, palms facing forward.
pull one stirrup up toward shoulder while keeping elbow stationary. return until arm is fully extended. repeat with other arm, alternating between sides.",biceps brachii
cable bar curl,basic,isolated,pull,"Grasp low cable bar with shoulder width underhand grip. Stand close to cable bar.
with elbows to side, raise bar until forearms are vertical. lower until arms are fully extended. repeat.",biceps brachii
cable curl (with stirrups),basic or auxiliary,isolated,pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.
pull stirrups forward and upward toward shoulders while keeping elbows stationary. return until arms are fully extended. repeat.",biceps brachii
